"","TEAM","Conference","GamesPlayed","Wins","AdjustedOffensiveEfficiency","AdjustedDefensiveEfficiency","PowerRating","EFG_O","EFG_D","TurnoverRate","StealRate","ORB","DRB","FTR","FTRA","Two_Point_Percent","Two_Point_Percent_Allowed","Three_Point_Percent","Three_Point_Percent_Allowed","Adjusted_Tempo","POSTSEASON","SEED","WinPercentage"
"51","UC Irvine","BW",36,31,107.2,97.6,0.7458,51.3,44.1,17.5,16.7,33.7,27,28.7,33,50.1,40.7,35.9,33.9,66.6,"R32","13",86.11
"52","Vermont","AE",33,27,107,98.1,0.7324,52.6,48.7,16.8,19.1,27.3,22.2,35.9,27.5,51.6,46.3,35.9,35.1,66.7,"R64","13",81.82
"53","Northeastern","CAA",34,23,109.1,102.5,0.6712,56.5,52.1,16.6,16.7,22.7,24.6,34.3,27.8,55.8,53,38.2,33.7,67.5,"R64","13",67.65
"54","Saint Louis","A10",36,23,101.3,95.7,0.6599,46.7,46.9,19.3,19.4,36,25.1,39.4,33.5,47.2,46.7,30.4,31.4,67.7,"R64","13",63.89
"55","Yale","Ivy",29,22,110.5,102.5,0.7034,55.6,47.3,17.8,15.2,26.3,24.6,30.1,31.1,56,47.8,36.5,31,72.2,"R64","14",75.86
"56","Northern Kentucky","Horz",33,26,107.8,101.3,0.6719,54.6,49.1,17.8,18.4,30.6,26,34.8,35.2,55,49.9,36,32,69.3,"R64","14",78.79
"57","Georgia St.","SB",33,24,106.4,101.1,0.6418,53.7,50.3,16.4,21,23,33.8,35.4,30.9,51.2,51.2,38.1,32.8,71.3,"R64","14",72.73
"58","Old Dominion","CUSA",35,26,99.3,94.6,0.6339,47.2,45.6,17.8,18.5,32.1,24.8,28.9,32.4,44.1,43.5,34.9,32.4,65.9,"R64","14",74.29
"59","Colgate","Pat",34,24,109.1,105.5,0.5961,55.9,50.7,19.3,17.8,30.2,27.1,28.4,28.2,53.5,50.5,39.5,33.9,67.9,"R64","15",70.59
"60","Montana","BSky",33,26,106.2,103.2,0.5812,56.1,50.1,17.3,19.2,27.4,24.9,31.6,37.3,55.6,49.3,37.8,34.4,68,"R64","15",78.79
"61","Bradley","MVC",34,20,101.1,100.5,0.517,49.7,47.6,18.8,18.4,26.7,26.7,36.3,35.6,46.5,46.5,37,32.8,66.5,"R64","15",58.82
"62","Abilene Christian","Slnd",30,27,100.9,100.7,0.5064,51.9,49.8,17.3,23.3,27,28.5,34,38.3,49.5,49.8,37.7,33.3,67.1,"R64","15",90
"63","Gardner Webb","BSth",32,23,106,106.6,0.4852,54.8,50.5,17.1,18.2,22.4,31.3,38.3,27.6,53.6,50.4,37.7,33.7,68.7,"R64","16",71.88
"64","North Dakota St.","Sum",33,19,106.6,109,0.4369,53.5,53.6,15.7,14.4,20.7,25.9,32.2,26.5,52.1,52.6,36.7,37,66.5,"R64","16",57.58
"65","Iona","MAAC",33,17,105.2,108.8,0.4044,53,52.3,17.3,18.5,25.1,30.7,36.8,28.5,53.2,50.3,35.1,36.6,71.9,"R64","16",51.52
"66","Prairie View A&M","SWAC",34,22,101.7,105.7,0.3911,49,51.2,17.4,24.7,29.7,34.3,43.1,46.2,49.2,53.7,32.4,31.2,72.2,"R68","16",64.71
"67","Fairleigh Dickinson","NEC",33,21,104.5,110.3,0.3494,54.2,52,19.7,20.2,29.5,33.2,35.7,29.4,51,51.3,40.1,35.3,68,"R64","16",63.64
"68","North Carolina Central","MEAC",31,18,98,108.3,0.2414,49.9,49.9,22.7,17.5,34.8,26.9,33.5,31.4,51.3,50.9,31.5,32,66.4,"R68","16",58.06
